"USER_ID","Predictions"
8,"Democrat"
11,"Democrat"
12,"Republican"
20,"Democrat"
21,"Republican"
23,"Democrat"
24,"Democrat"
30,"Republican"
31,"Democrat"
40,"Democrat"
41,"Republican"
42,"Republican"
47,"Republican"
52,"Republican"
55,"Democrat"
60,"Republican"
63,"Democrat"
64,"Republican"
70,"Republican"
71,"Republican"
73,"Democrat"
86,"Republican"
88,"Republican"
89,"Democrat"
90,"Republican"
94,"Democrat"
95,"Democrat"
101,"Republican"
106,"Democrat"
107,"Democrat"
109,"Republican"
110,"Republican"
112,"Democrat"
119,"Democrat"
120,"Republican"
126,"Republican"
138,"Democrat"
147,"Republican"
152,"Democrat"
153,"Democrat"
157,"Republican"
169,"Republican"
173,"Republican"
176,"Republican"
180,"Democrat"
183,"Democrat"
194,"Democrat"
200,"Republican"
203,"Republican"
205,"Republican"
217,"Republican"
224,"Democrat"
228,"Republican"
232,"Republican"
233,"Democrat"
245,"Republican"
248,"Republican"
249,"Republican"
252,"Democrat"
255,"Republican"
258,"Democrat"
266,"Republican"
275,"Democrat"
276,"Democrat"
289,"Republican"
291,"Democrat"
294,"Democrat"
295,"Republican"
302,"Republican"
303,"Democrat"
304,"Democrat"
305,"Republican"
306,"Democrat"
312,"Republican"
319,"Democrat"
320,"Democrat"
324,"Democrat"
330,"Democrat"
335,"Republican"
351,"Democrat"
353,"Republican"
355,"Democrat"
356,"Democrat"
365,"Democrat"
367,"Democrat"
371,"Democrat"
372,"Republican"
373,"Republican"
374,"Republican"
383,"Democrat"
398,"Democrat"
400,"Democrat"
403,"Democrat"
409,"Democrat"
410,"Republican"
411,"Republican"
417,"Republican"
423,"Republican"
424,"Republican"
425,"Republican"
435,"Republican"
436,"Republican"
441,"Democrat"
446,"Democrat"
453,"Republican"
455,"Democrat"
456,"Republican"
463,"Democrat"
464,"Democrat"
472,"Republican"
473,"Republican"
483,"Republican"
484,"Democrat"
491,"Democrat"
497,"Democrat"
502,"Democrat"
503,"Democrat"
504,"Democrat"
506,"Democrat"
509,"Republican"
513,"Republican"
514,"Democrat"
525,"Democrat"
536,"Democrat"
538,"Republican"
540,"Republican"
548,"Republican"
550,"Republican"
559,"Democrat"
561,"Democrat"
566,"Republican"
568,"Democrat"
578,"Republican"
582,"Republican"
587,"Republican"
592,"Republican"
593,"Democrat"
598,"Republican"
615,"Democrat"
620,"Democrat"
622,"Republican"
623,"Democrat"
626,"Democrat"
628,"Democrat"
633,"Democrat"
636,"Democrat"
641,"Democrat"
644,"Democrat"
654,"Democrat"
656,"Democrat"
665,"Republican"
673,"Democrat"
679,"Republican"
684,"Republican"
687,"Democrat"
690,"Democrat"
691,"Republican"
700,"Democrat"
710,"Democrat"
714,"Democrat"
715,"Republican"
723,"Republican"
724,"Democrat"
729,"Democrat"
736,"Republican"
738,"Democrat"
745,"Democrat"
754,"Democrat"
763,"Republican"
765,"Republican"
773,"Democrat"
777,"Republican"
779,"Democrat"
781,"Republican"
785,"Democrat"
788,"Democrat"
790,"Democrat"
791,"Democrat"
792,"Democrat"
798,"Democrat"
812,"Democrat"
817,"Democrat"
818,"Republican"
822,"Democrat"
824,"Republican"
828,"Democrat"
829,"Democrat"
835,"Republican"
840,"Republican"
841,"Republican"
842,"Democrat"
851,"Republican"
852,"Republican"
856,"Democrat"
857,"Republican"
859,"Republican"
872,"Republican"
877,"Democrat"
882,"Democrat"
884,"Republican"
889,"Democrat"
894,"Republican"
895,"Republican"
896,"Republican"
899,"Democrat"
904,"Democrat"
910,"Republican"
921,"Democrat"
922,"Republican"
923,"Republican"
925,"Democrat"
926,"Democrat"
935,"Democrat"
939,"Republican"
940,"Democrat"
941,"Republican"
943,"Republican"
946,"Republican"
950,"Republican"
953,"Republican"
956,"Democrat"
968,"Republican"
972,"Democrat"
977,"Republican"
978,"Republican"
990,"Democrat"
991,"Democrat"
996,"Republican"
1001,"Democrat"
1008,"Democrat"
1009,"Democrat"
1011,"Republican"
1016,"Republican"
1017,"Republican"
1026,"Democrat"
1027,"Democrat"
1028,"Republican"
1031,"Republican"
1034,"Republican"
1035,"Democrat"
1038,"Democrat"
1039,"Democrat"
1043,"Democrat"
1045,"Republican"
1046,"Democrat"
1047,"Republican"
1049,"Democrat"
1058,"Democrat"
1060,"Republican"
1063,"Democrat"
1065,"Republican"
1068,"Republican"
1075,"Democrat"
1077,"Republican"
1088,"Democrat"
1091,"Republican"
1098,"Democrat"
1099,"Democrat"
1100,"Democrat"
1102,"Democrat"
1105,"Democrat"
1113,"Democrat"
1123,"Democrat"
1137,"Republican"
1142,"Democrat"
1143,"Republican"
1147,"Democrat"
1149,"Democrat"
1150,"Democrat"
1152,"Republican"
1161,"Republican"
1164,"Democrat"
1165,"Democrat"
1168,"Democrat"
1169,"Republican"
1180,"Democrat"
1181,"Democrat"
1183,"Republican"
1197,"Democrat"
1201,"Republican"
1204,"Democrat"
1205,"Republican"
1210,"Democrat"
1212,"Republican"
1227,"Democrat"
1229,"Democrat"
1231,"Democrat"
1238,"Republican"
1248,"Democrat"
1249,"Republican"
1252,"Republican"
1253,"Republican"
1261,"Democrat"
1264,"Democrat"
1267,"Republican"
1268,"Democrat"
1270,"Republican"
1271,"Republican"
1273,"Republican"
1274,"Democrat"
1286,"Republican"
1295,"Democrat"
1297,"Republican"
1303,"Democrat"
1306,"Republican"
1307,"Democrat"
1313,"Democrat"
1324,"Democrat"
1330,"Democrat"
1336,"Democrat"
1339,"Republican"
1340,"Democrat"
1345,"Democrat"
1357,"Republican"
1358,"Republican"
1363,"Republican"
1366,"Democrat"
1373,"Democrat"
1389,"Republican"
1400,"Democrat"
1404,"Democrat"
1406,"Democrat"
1413,"Democrat"
1414,"Republican"
1418,"Republican"
1422,"Democrat"
1423,"Democrat"
1424,"Republican"
1425,"Republican"
1430,"Democrat"
1433,"Republican"
1441,"Democrat"
1443,"Democrat"
1445,"Republican"
1447,"Democrat"
1466,"Democrat"
1467,"Republican"
1471,"Republican"
1476,"Republican"
1481,"Democrat"
1487,"Democrat"
1488,"Democrat"
1489,"Republican"
1496,"Democrat"
1498,"Democrat"
1502,"Democrat"
1504,"Republican"
1505,"Republican"
1526,"Republican"
1527,"Democrat"
1531,"Republican"
1533,"Democrat"
1537,"Democrat"
1539,"Democrat"
1542,"Democrat"
1546,"Republican"
1549,"Democrat"
1551,"Republican"
1564,"Democrat"
1566,"Republican"
1567,"Democrat"
1574,"Democrat"
1579,"Democrat"
1584,"Democrat"
1587,"Republican"
1589,"Democrat"
1601,"Democrat"
1609,"Republican"
1611,"Democrat"
1614,"Democrat"
1618,"Democrat"
1621,"Democrat"
1627,"Republican"
1634,"Republican"
1648,"Democrat"
1652,"Republican"
1655,"Democrat"
1656,"Democrat"
1659,"Republican"
1660,"Democrat"
1662,"Republican"
1664,"Democrat"
1669,"Republican"
1674,"Democrat"
1686,"Democrat"
1687,"Republican"
1699,"Republican"
1700,"Democrat"
1703,"Democrat"
1704,"Democrat"
1710,"Republican"
1711,"Republican"
1712,"Democrat"
1714,"Democrat"
1715,"Democrat"
1716,"Republican"
1717,"Democrat"
1725,"Republican"
1728,"Republican"
1733,"Republican"
1735,"Democrat"
1738,"Democrat"
1744,"Democrat"
1745,"Democrat"
1747,"Democrat"
1754,"Democrat"
1762,"Republican"
1764,"Democrat"
1770,"Democrat"
1771,"Democrat"
1774,"Democrat"
1775,"Democrat"
1779,"Democrat"
1780,"Democrat"
1786,"Democrat"
1787,"Republican"
1791,"Republican"
1794,"Democrat"
1795,"Democrat"
1796,"Democrat"
1797,"Democrat"
1800,"Democrat"
1803,"Republican"
1805,"Republican"
1808,"Republican"
1810,"Democrat"
1811,"Republican"
1814,"Democrat"
1815,"Democrat"
1817,"Republican"
1822,"Republican"
1826,"Democrat"
1828,"Democrat"
1832,"Republican"
1833,"Democrat"
1835,"Democrat"
1838,"Democrat"
1840,"Republican"
1842,"Republican"
1846,"Democrat"
1862,"Republican"
1863,"Democrat"
1866,"Republican"
1867,"Republican"
1868,"Democrat"
1875,"Republican"
1877,"Republican"
1879,"Democrat"
1880,"Democrat"
1881,"Democrat"
1885,"Democrat"
1895,"Democrat"
1898,"Republican"
1900,"Democrat"
1901,"Democrat"
1904,"Democrat"
1908,"Republican"
1919,"Republican"
1933,"Democrat"
1937,"Republican"
1938,"Democrat"
1943,"Republican"
1945,"Republican"
1949,"Democrat"
1953,"Democrat"
1954,"Republican"
1956,"Democrat"
1965,"Democrat"
1971,"Democrat"
1974,"Democrat"
1976,"Democrat"
1979,"Republican"
1980,"Democrat"
1985,"Democrat"
1989,"Republican"
1993,"Democrat"
1998,"Republican"
2005,"Republican"
2006,"Republican"
2013,"Democrat"
2015,"Republican"
2023,"Republican"
2025,"Democrat"
2026,"Democrat"
2029,"Republican"
2030,"Republican"
2033,"Democrat"
2038,"Democrat"
2046,"Republican"
2047,"Democrat"
2050,"Democrat"
2055,"Democrat"
2057,"Republican"
2062,"Republican"
2071,"Republican"
2073,"Republican"
2074,"Republican"
2075,"Republican"
2077,"Democrat"
2085,"Republican"
2091,"Democrat"
2104,"Democrat"
2105,"Republican"
2108,"Democrat"
2112,"Democrat"
2118,"Democrat"
2122,"Democrat"
2123,"Republican"
2125,"Democrat"
2132,"Democrat"
2145,"Republican"
2150,"Republican"
2151,"Republican"
2157,"Democrat"
2159,"Republican"
2169,"Democrat"
2170,"Democrat"
2172,"Democrat"
2175,"Republican"
2179,"Republican"
2183,"Republican"
2186,"Republican"
2188,"Republican"
2190,"Democrat"
2192,"Democrat"
2193,"Democrat"
2194,"Democrat"
2198,"Republican"
2200,"Democrat"
2201,"Democrat"
2202,"Democrat"
2203,"Republican"
2214,"Democrat"
2217,"Democrat"
2223,"Democrat"
2225,"Democrat"
2229,"Democrat"
2232,"Republican"
2233,"Democrat"
2242,"Democrat"
2246,"Democrat"
2247,"Republican"
2249,"Democrat"
2254,"Republican"
2255,"Democrat"
2266,"Democrat"
2269,"Democrat"
2270,"Republican"
2271,"Republican"
2272,"Democrat"
2277,"Democrat"
2281,"Democrat"
2282,"Republican"
2284,"Republican"
2288,"Democrat"
2289,"Republican"
2292,"Republican"
2293,"Democrat"
2295,"Democrat"
2300,"Republican"
2301,"Democrat"
2302,"Democrat"
2303,"Democrat"
2314,"Democrat"
2320,"Republican"
2322,"Democrat"
2327,"Republican"
2328,"Democrat"
2334,"Republican"
2341,"Democrat"
2344,"Republican"
2351,"Republican"
2354,"Democrat"
2357,"Democrat"
2361,"Republican"
2363,"Republican"
2367,"Democrat"
2371,"Republican"
2372,"Democrat"
2375,"Republican"
2376,"Democrat"
2381,"Democrat"
2384,"Republican"
2387,"Democrat"
2389,"Democrat"
2396,"Democrat"
2400,"Democrat"
2417,"Democrat"
2418,"Republican"
2421,"Democrat"
2423,"Democrat"
2431,"Republican"
2432,"Democrat"
2437,"Democrat"
2441,"Republican"
2444,"Democrat"
2445,"Democrat"
2451,"Republican"
2455,"Republican"
2460,"Republican"
2463,"Democrat"
2467,"Democrat"
2471,"Republican"
2475,"Democrat"
2476,"Democrat"
2477,"Republican"
2489,"Democrat"
2490,"Democrat"
2491,"Democrat"
2495,"Republican"
2498,"Democrat"
2503,"Democrat"
2506,"Republican"
2507,"Democrat"
2508,"Republican"
2511,"Democrat"
2515,"Republican"
2518,"Democrat"
2521,"Democrat"
2524,"Republican"
2527,"Republican"
2530,"Republican"
2541,"Democrat"
2545,"Republican"
2559,"Republican"
2561,"Republican"
2566,"Republican"
2567,"Republican"
2570,"Republican"
2573,"Republican"
2578,"Republican"
2580,"Republican"
